Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes	
 -9.  -9.    234999.4	 -9. 2642.7	 u  20.11  0.06	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    235673.3	 -9. 2417.0	 v  20.11  0.10	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    253160.6	 -9. 3200.0	 IC 19.59  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    253549.4	 -9. 2560.0	 RC 20.07  0.12	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    256106.9	 -9. 1840.0	 IC 19.50  0.11	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    256124.2	 -9. 1840.0	 RC 19.99  0.12	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    258266.9	 -9. 2160.0	 IC 19.53  0.07	 -9.  -9.  -9. 	SMARTS	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    258266.9	 -9. 1800.0	 J  18.35  0.09	 -9.  -9.  -9. 	SMARTS	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    259554.2	 -9. 2720.0	 IC 19.58  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    259675.2	 -9. 3520.0	 BJ 20.85  0.24	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    259683.8	 -9. 2960.0	 RC 19.96  0.09	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    259917.1	 -9. 3600.0	 VJ 20.64  0.43	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    290857.0	 -9. 2533.9	 v  20.75  0.13	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    291997.4	 -9. 3233.8	 u  20.58  0.07	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    332113.0	 -9. 5840.0	 IC 19.89  0.11	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    332173.4	 -9. 6560.0	 RC 20.39  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    339508.8	 -9. 6000.0	 IC 19.95  0.12	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    339569.3	 -9. 5680.0	 RC 20.65  0.14	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    346602.2	 -9. 30640.0	 BJ 21.29  0.13	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    346645.4	 -9. 28720.0	 VJ 20.71  0.17	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    347751.4	 -9. 7440.0	 IC 20.10  0.12	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    347785.9	 -9. 7520.0	 RC 20.55  0.09	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    357937.9	 -9. 10400.0	 IC 20.18  0.11	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    358084.8	 -9. 10400.0	 RC 20.73  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    379105.9	 -9. 3091.7	 v  20.60  0.11	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    379676.2	 -9. 3341.7	 u  20.90  0.08	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    421994.9	 -9. 12640.0	 RC 20.73  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    422098.6	 -9. 12400.0	 IC 20.17  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    429045.1	 -9. 2160.0	 IC 20.33  0.10	 -9.  -9.  -9. 	SMARTS	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    429045.1	 -9. 1800.0	 J  19.16  0.13	 -9.  -9.  -9. 	SMARTS	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    430626.2	 -9. 23520.0	 VJ 21.15  0.31	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    431101.4	 -9. 24240.0	 BJ 21.32  0.17	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    440665.9	 -9. 12640.0	 IC 20.17  0.11	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    440847.4	 -9. 11920.0	 RC 20.92  0.13	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    474465.6	 -9. 4142.8	 u  21.36  0.10	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
