time	flux	flux_err	band
4041.1	1.7284120614173111e-12	9.292433875139265e-14	R
4160.2	1.7125658843902338e-12	9.207240329291656e-14	R
4296.9	1.6056367075617042e-12	8.632358721379917e-14	R
4417.7	1.6354877226659185e-12	8.792846252191436e-14	R
4537.3	1.4244502582622045e-12	8.893981535980502e-14	R
4687.8	1.385630034132939e-12	7.449540393179999e-14	R
4880.1	1.385630034132939e-12	7.449540393179999e-14	R
5066.8	1.4244502582622045e-12	7.658248937740523e-14	R
5246.6	1.3603394357967236e-12	7.31357095744847e-14	R
5431.3	1.3232664095655845e-12	8.262209891567255e-14	R
5621.2	1.3232664095655845e-12	8.262209891567255e-14	R
5861.2	1.141950524435721e-12	7.130109893570627e-14	R
6112.2	1.3355104429023995e-12	8.338659178435347e-14	R
6447.7	9.945973283147654e-13	6.210066109685438e-14	R
7004.4	9.854788051992684e-13	6.153131881372481e-14	R
202.5	7.488e-11	2.7084827110370993e-12	I
204.8	7.020464307860984e-11	2.539370486283982e-12	I
207.2	6.892326393287739e-11	2.4930217514748214e-12	I
209.5	6.829137165097051e-11	2.470165590673898e-12	I
211.9	6.704491364435358e-11	2.425079987562863e-12	I
214.2	6.402739546080501e-11	2.3159334086313548e-12	I
216.6	6.402739546080501e-11	2.3159334086313548e-12	I
218.9	6.058510093047719e-11	2.1914222544956487e-12	I
221.2	6.171146205217353e-11	2.2321638360194023e-12	I
223.6	6.2282471180168e-11	2.2528177936986124e-12	I
225.9	6.002965338646939e-11	2.1713311745032143e-12	I
228.3	5.947929821615413e-11	2.151424290639209e-12	I
230.6	5.5765530206080446e-11	2.0170936756808924e-12	I
233.0	5.785832221196618e-11	2.0927920058857313e-12	I
235.3	5.893398873236898e-11	2.1316999141837102e-12	I
237.7	5.525426875206701e-11	1.9986008497056898e-12	I
240.0	5.474769457123828e-11	1.980277566978337e-12	I
242.3	5.474769457123828e-11	1.980277566978337e-12	I
244.7	5.474769457123828e-11	1.980277566978337e-12	I
247.1	5.039249202256964e-11	1.8227456384775162e-12	I
249.4	4.856974638409202e-11	1.7568151490487364e-12	I
251.7	5.0858768010374763e-11	1.839611296217234e-12	I
254.1	4.901915671415743e-11	1.773070759480583e-12	I
256.4	4.768324860558467e-11	1.7247496588448501e-12	I
258.8	4.8124456272698414e-11	1.7407085709490426e-12	I
261.1	4.595849894673982e-11	2.06847318792937e-12	I
263.5	4.511966180524785e-11	2.0307192974416435e-12	I
265.8	4.595849894673982e-11	2.06847318792937e-12	I
268.2	4.470600225939769e-11	2.0121015510153783e-12	I
270.5	4.724608595467685e-11	2.126424149429002e-12	I
272.9	4.389002575881045e-11	1.9753765588566657e-12	I
275.2	4.511966180524785e-11	2.0307192974416435e-12	I
277.5	4.348763958399578e-11	1.9572661977074407e-12	I
279.9	4.269390070838239e-11	1.9215420635419175e-12	I
282.2	4.348763958399578e-11	1.9572661977074407e-12	I
284.6	4.3088942507806294e-11	1.9393218733474342e-12	I
286.9	4.153037338628834e-11	1.869174707681058e-12	I
289.3	3.8580320906281905e-11	1.7364004744549227e-12	I
291.6	4.0772358644840475e-11	1.8350584244108567e-12	I
294.0	4.0772358644840475e-11	1.8350584244108567e-12	I
296.3	4.002817923164522e-11	1.801564833486864e-12	I
298.7	3.8580320906281905e-11	1.7364004744549227e-12	I
301.0	3.8580320906281905e-11	1.7364004744549227e-12	I
303.4	3.752890005401009e-11	1.6890787408909538e-12	I
305.7	3.7184833030201145e-11	1.6735931739140829e-12	I
308.0	3.486308668299911e-11	1.5690973749122744e-12	I
310.4	3.518567085235851e-11	1.5836160541656309e-12	I
312.7	3.2386635667901396e-11	1.4576387188781335e-12	I
315.1	3.518567085235851e-11	1.5836160541656309e-12	I
317.4	3.454345998308119e-11	1.554711803710535e-12	I
319.8	3.360205479819295e-11	1.512341590832704e-12	I
322.1	3.2988748179370654e-11	1.4847382459435687e-12	I
324.5	3.268630551814361e-11	1.4711260838849479e-12	I
326.8	3.1215179434258725e-11	1.4049145032128726e-12	I
329.1	3.2988748179370654e-11	1.4847382459435687e-12	I
331.5	3.360205479819295e-11	1.512341590832704e-12	I
335.0	3.150400993342715e-11	1.1395307990521311e-12	I
338.5	3.064543820058316e-11	1.3792719236481784e-12	I
340.9	3.092899694902326e-11	1.39203416962647e-12	I
343.2	3.008609591636857e-11	1.3540973739067594e-12	I
345.6	2.981026493104585e-11	1.3416829345622823e-12	I
347.9	2.926616627693504e-11	1.3171944611915333e-12	I
350.3	2.926616627693504e-11	1.3171944611915333e-12	I
352.6	3.0364479134374954e-11	1.3666266826443116e-12	I
355.0	2.981026493104585e-11	1.3416829345622823e-12	I
357.3	3.0364479134374954e-11	1.3666266826443116e-12	I
359.6	2.820758046791507e-11	1.2695502514531396e-12	I
362.0	2.953696277939685e-11	1.3293823114817797e-12	I
364.3	2.89978524517307e-11	1.3051183497843913e-12	I
366.7	2.873199854246181e-11	1.2931529528320488e-12	I
369.0	2.846858199648357e-11	1.281297255298462e-12	I
371.4	2.953696277939685e-11	1.3293823114817797e-12	I
373.7	2.6446355754021685e-11	1.1902820816456596e-12	I
376.1	2.5256073672376078e-11	1.1367105632457674e-12	I
378.4	2.5489765244810947e-11	1.1472284165896436e-12	I
380.8	2.620389410708337e-11	1.1793695099279838e-12	I
383.1	2.5963655361885518e-11	1.16855698526912e-12	I
385.4	2.5963655361885518e-11	1.16855698526912e-12	I
387.8	2.30338129487784e-11	1.0366923548904588e-12	I
390.1	2.411936310913031e-11	1.0855501603519114e-12	I
392.5	2.4567775548310302e-11	1.1057320446352684e-12	I
394.8	2.389823545899448e-11	1.0755977766601906e-12	I
397.2	2.4795098376616398e-11	1.1159632572755732e-12	I
399.5	2.4342536828221303e-11	1.0955946323162223e-12	I
401.9	2.5963655361885518e-11	1.16855698526912e-12	I
404.2	2.4795098376616398e-11	1.1159632572755732e-12	I
408.9	2.2822637682334336e-11	8.255170884463958e-13	I
413.6	2.1795449780082717e-11	1.1717852494865493e-12	I
415.9	2.2406077598922075e-11	1.2046143343763703e-12	I
418.3	2.0623664530596168e-11	1.1087867482044614e-12	I
420.6	2.1595627895412025e-11	1.1610422577454169e-12	I
423.0	2.2200657444758255e-11	1.1935703637758489e-12	I
425.3	2.199712059388794e-11	1.182627644906431e-12	I
427.7	2.199712059388794e-11	1.182627644906431e-12	I
430.0	2.324694219590513e-11	1.0462847511468744e-12	I
432.4	2.1795449780082717e-11	1.1717852494865493e-12	I
434.7	2.2613398482370274e-11	1.2157604935786958e-12	I
437.1	2.081449294898151e-11	1.1190462256689335e-12	I
439.4	2.120146326454575e-11	1.1398508483008433e-12	I
441.8	2.139763798879158e-11	1.1503977583445778e-12	I
444.1	1.987768644807282e-11	1.0686808489291036e-12	I
446.4	2.1595627895412025e-11	1.1610422577454169e-12	I
448.8	1.898304318516833e-11	1.0205822875504247e-12	I
451.1	2.0247240230447e-11	1.0885491092975478e-12	I
453.5	2.0247240230447e-11	1.0885491092975478e-12	I
455.8	2.0434585637666608e-11	1.098621330194794e-12	I
458.2	1.9514877782391707e-11	1.0491752251809977e-12	I
460.5	2.0247240230447e-11	1.0885491092975478e-12	I
462.9	2.139763798879158e-11	1.1503977583445778e-12	I
465.2	2.0623664530596168e-11	1.1087867482044614e-12	I
467.6	1.9335964307471814e-11	1.039556328899396e-12	I
469.9	2.0434585637666608e-11	1.098621330194794e-12	I
472.2	1.898304318516833e-11	1.0205822875504247e-12	I
474.6	2.0061612416244906e-11	1.0785692310765769e-12	I
476.9	1.987768644807282e-11	1.0686808489291036e-12	I
479.3	1.898304318516833e-11	1.0205822875504247e-12	I
481.6	1.898304318516833e-11	1.0205822875504247e-12	I
484.0	1.8128665501960517e-11	9.746485180354543e-13	I
486.3	1.987768644807282e-11	1.0686808489291036e-12	I
